	len_changed	len_not_found	not_found	changed
Late Phase of HIV Life Cycle	2	9	['rev', 'env', 'tat', 'gag', 'vpr', 'nef', 'vpu', 'gag-pol', 'vif']	{'POM121': 'POMZP3', 'TAF4B': 'PAPPA-AS1'}
Late endosomal microautophagy	0	0	[]	{}
Latent infection - Other responses of Mtb to phagocytosis	0	34	['bfr', 'secA1', 'secA2', 'secD', 'secF', 'msrA', 'secY', 'trx-2', 'bfrB', 'ggtA', 'Rv1281c', 'Rv1282c', 'Rv1280c', 'ahpD', 'katG', 'fgd1', 'tpx', 'secG', 'sodB', 'trxB', 'secE', 'trxA', 'lpdC', 'dlaT', 'irtA', 'ahpC', 'sodC', 'adhE2', 'Rv2238c', 'MT2748', 'Rv1283c', 'irtB', 'Rv2895c', 'glbN']	{}
Leading Strand Synthesis	0	0	[]	{}
Lectin pathway of complement activation	0	0	[]	{}
Leishmania infection	5	3	['IGHV', 'LPG1G2', 'IGLV']	{'TAAR3': 'TAAR3P', 'PTH2': 'PTENP1', 'HRH2': 'DHX15', 'GIP': 'C1QTNF1', 'VIP': 'CPAMD8'}
Leishmania parasite growth and survival	5	3	['IGHV', 'LPG1G2', 'IGLV']	{'HRH2': 'DHX15', 'VIP': 'CPAMD8', 'TAAR3': 'TAAR3P', 'GIP': 'C1QTNF1', 'PTH2': 'PTENP1'}
Leishmania phagocytosis	0	3	['IGHV', 'LPG1G2', 'IGLV']	{}
Leukotriene receptors	0	0	[]	{}
Lewis blood group biosynthesis	0	0	[]	{}
Ligand-receptor interactions	0	0	[]	{}
Linoleic acid (LA) metabolism	0	0	[]	{}
Lipid particle organization	0	0	[]	{}
Lipophagy	0	0	[]	{}
Listeria monocytogenes entry into host cells	1	2	['inlB', 'inlA']	{'CDH1': 'FZR1'}
Localization of the PINCH-ILK-PARVIN complex to focal adhesions	1	0	[]	{'PXN': 'PXDN'}
Long-term potentiation	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	0	0	[]	{}
Loss of Function of SMAD2/3 in Cancer	0	0	[]	{}
Loss of Function of SMAD4 in Cancer	0	0	[]	{}
Loss of Function of TGFBR1 in Cancer	0	0	[]	{}
Loss of Function of TGFBR2 in Cancer	0	0	[]	{}
Loss of MECP2 binding ability to 5hmC-DNA	0	0	[]	{}
Loss of MECP2 binding ability to 5mC-DNA	0	0	[]	{}
Loss of MECP2 binding ability to the NCoR/SMRT complex	0	0	[]	{}
Loss of Nlp from mitotic centrosomes	0	0	[]	{}
Loss of function of MECP2 in Rett syndrome	0	0	[]	{}
Loss of phosphorylation of MECP2 at T308	0	0	[]	{}
Loss of proteins required for interphase microtubule organization from the centrosome	0	0	[]	{}
Lysine catabolism	0	0	[]	{}
Lysosomal oligosaccharide catabolism	0	0	[]	{}
Lysosome Vesicle Biogenesis	0	0	[]	{}
Lysosphingolipid and LPA receptors	0	0	[]	{}
M Phase	4	0	[]	{'POM121': 'POMZP3', 'APITD1': 'CENPS', 'H2AFX': 'H2AX', 'CENPC': 'CENPCP1'}
MAP kinase activation	0	0	[]	{}
MAP2K and MAPK activation	1	0	[]	{'KSR2': 'CNKSR2'}
MAP3K8 (TPL2)-dependent MAPK1/3 activation	0	0	[]	{}
MAPK family signaling cascades	8	1	['MAPK6 gene']	{'DUSP1': 'DUSP12', 'DLG3': 'MPP3', 'KSR2': 'CNKSR2', 'FGF2': 'FGF13', 'PAK3': 'ARHGEF7', 'GRIN1': 'GPRIN1', 'PAK1': 'PKN1', 'LAT': 'SPNS1'}
MAPK targets/ Nuclear events mediated by MAP kinases	0	0	[]	{}
MAPK1 (ERK2) activation	0	0	[]	{}
MAPK1/MAPK3 signaling	6	0	[]	{'FGF2': 'FGF13', 'GRIN1': 'GPRIN1', 'LAT': 'SPNS1', 'DUSP1': 'DUSP12', 'DLG3': 'MPP3', 'KSR2': 'CNKSR2'}
MAPK3 (ERK1) activation	0	0	[]	{}
MAPK6/MAPK4 signaling	2	1	['MAPK6 gene']	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
MASTL Facilitates Mitotic Progression	0	0	[]	{}
MECP2 regulates neuronal receptors and channels	0	0	[]	{}
MECP2 regulates transcription factors	0	0	[]	{}
MECP2 regulates transcription of genes involved in GABA signaling	0	0	[]	{}
MECP2 regulates transcription of neuronal ligands	0	0	[]	{}
MET Receptor Activation	0	0	[]	{}
MET activates PI3K/AKT signaling	0	0	[]	{}
MET activates PTK2 signaling	2	0	[]	{'LAMB2': 'LAMC1', 'LAMA3': 'LAMA4'}
MET activates PTPN11	0	0	[]	{}
MET activates RAP1 and RAC1	0	0	[]	{}
MET activates RAS signaling	0	0	[]	{}
MET activates STAT3	0	0	[]	{}
MET interacts with TNS proteins	0	0	[]	{}
MET promotes cell motility	2	0	[]	{'LAMA3': 'LAMA4', 'LAMB2': 'LAMC1'}
MET receptor recycling	0	0	[]	{}
MGMT-mediated DNA damage reversal	0	0	[]	{}
MHC class II antigen presentation	1	0	[]	{'RILP': 'PRICKLE1'}
MPS I - Hurler syndrome	0	0	[]	{}
MPS II - Hunter syndrome	0	0	[]	{}
MPS IIIA - Sanfilippo syndrome A	0	0	[]	{}
MPS IIIB - Sanfilippo syndrome B	0	0	[]	{}
MPS IIIC - Sanfilippo syndrome C	0	0	[]	{}
MPS IIID - Sanfilippo syndrome D	0	0	[]	{}
MPS IV - Morquio syndrome A	0	0	[]	{}
MPS IV - Morquio syndrome B	0	0	[]	{}
MPS IX - Natowicz syndrome	0	0	[]	{}
MPS VI - Maroteaux-Lamy syndrome	0	0	[]	{}
MPS VII - Sly syndrome	0	0	[]	{}
MTF1 activates gene expression	1	0	[]	{'MTF1': 'MELTF'}
MTOR signalling	0	0	[]	{}
Macroautophagy	1	0	[]	{'PARK2': 'PRKN'}
Major pathway of rRNA processing in the nucleolus and cytosol	8	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RRP1': 'RRP1B', 'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'DIEXF': 'UTP25', 'IMP4': 'SPPL2B', 'IMP3': 'SPPL2A', 'WBSCR22': 'BUD23', 'RPL36A': 'RPL36AL'}
Manipulation of host energy metabolism	0	1	['esxA']	{}
Masitinib-resistant KIT mutants	0	0	[]	{}
Maturation of nucleoprotein	0	1	['N']	{}
Maturation of protein 3a	0	1	['3a']	{}
Maturation of protein E	0	1	['E']	{}
Maturation of protein M	0	1	['M']	{}
Maturation of replicase proteins	0	2	['rep', '1a']	{}
Maturation of spike protein	0	1	['S']	{}
Meiosis	5	0	[]	{'DMC1': 'HID1', 'FKBP6': 'FKBP10', 'NBN': 'ARTN', 'H2AFX': 'H2AX', 'RPA1': 'POLR1A'}
Meiotic recombination	4	0	[]	{'H2AFX': 'H2AX', 'DMC1': 'HID1', 'RPA1': 'POLR1A', 'NBN': 'ARTN'}
Meiotic synapsis	2	0	[]	{'H2AFX': 'H2AX', 'FKBP6': 'FKBP10'}
Melanin biosynthesis	0	0	[]	{}
Membrane Trafficking	10	0	[]	{'MIA2': 'CFAP73', 'NAPB': 'NAPSB', 'GJA10': 'GJA9', 'GJC1': 'GJD3', 'ARFGAP1': 'ARFGAP3', 'ST5': 'DENND2B', 'RGP1': 'RGPD1', 'CPD': 'HOMER2', 'NAPA': 'NAPSA', 'RAB11B': 'RAB43'}
Membrane binding and targetting of GAG proteins	0	1	['gag']	{}
Metabolic disorders of biological oxidation enzymes	1	0	[]	{'GSS': 'PRNP'}
Metabolism	58	5	['5S rRNA', '18S rRNA', '5.8S rRNA', '28S rRNA', 'ACOT7L']	{'SC5DL': 'SC5D', 'POM121': 'POMZP3', 'ADSSL1': 'ADSS1', 'HK3': 'HOOK3', 'RPL13': 'MRPL13', 'FABP5': 'FABP5P1', 'SQRDL': 'SQOR', 'ALB': 'FBF1', 'HK2': 'HOOK2', 'DIO1': 'DIDO1', 'SCD': 'SLC22A5', 'NAT2': 'SLC38A1', 'CES2': 'CES1', 'ADSS': 'ADSS2', 'TAZ': 'WWTR1', 'NOS3': 'NANOS3', 'HSD17B7': 'HSD17B7P2', 'GK2': 'GALK2', 'NAT1': 'EIF4G2', 'PISD': 'SFI1', 'PSAP': 'MTCH1', 'RPL36A': 'RPL36AL', 'BRIP1': 'MRPL36', 'RBP2': 'RIMBP2', 'SULT1C2': 'SULT1C4', 'FAAH': 'FA2H', 'G6PC': 'G6PC1', 'TPO': 'THPO', 'INPP5E': 'PMPCA', 'GDA': 'SLC25A16', 'GLS': 'GLS2', 'CDS1': 'CHEK2', 'MTF1': 'MELTF', 'PC': 'PODXL', 'TRAP1': 'HSP90B2P', 'PGP': 'PGPEP1', 'PGAM1': 'PGAM4', 'AK6': 'AK3', 'DBI': 'TSPO', 'CPS1': 'CYP21A2', 'NME1': 'RMRP', 'GSS': 'PRNP', 'CAD': 'DFFB', 'TMEM55B': 'PIP4P1', 'LRP1': 'C1D', 'AIP': 'AURKAIP1', 'TPH2': 'TDO2', 'ME1': 'PCDHB16', 'FAH': 'FANCA', 'FBP2': 'KHSRP', 'PYCRL': 'PYCR3', 'GCK': 'MAP4K2', 'HAS1': 'HNF1A-AS1', 'HK1': 'HOOK1', 'GPI': 'GNPDA1', 'PDP1': 'PLPP6', 'RPL10': 'RPL15', 'SLC23A2': 'SLC23A1'}
Metabolism of Angiotensinogen to Angiotensins	1	0	[]	{'REN': 'KCTD11'}
Metabolism of RNA	21	4	['5S rRNA', '5.8S rRNA', '18S rRNA', '28S rRNA']	{'RRP1': 'RRP1B', 'POM121': 'POMZP3', 'U2AF1L4': 'IGFLR1', 'IMP4': 'SPPL2B', 'POP1': 'BVES', 'RPL36A': 'RPL36AL', 'SF1': 'NR5A1', 'SNRPD1': 'SNRPD2', 'RPL13': 'MRPL13', 'RNU12': 'RNU12-2P', 'GAR1': 'CNGB1', 'RQCD1': 'CNOT9', 'ZCCHC11': 'TUT4', 'WBSCR22': 'BUD23', 'PAN2': 'NLRP4', 'PAN3': 'NLRP6', 'ZCCHC6': 'TUT7', 'RPL10': 'RPL15', 'DIEXF': 'UTP25', 'ISY1': 'RAB43', 'IMP3': 'SPPL2A'}
Metabolism of amine-derived hormones	3	0	[]	{'TPO': 'THPO', 'TPH2': 'TDO2', 'DIO1': 'DIDO1'}
Metabolism of amino acids and derivatives	11	4	['5S rRNA', '5.8S rRNA', '18S rRNA', '28S rRNA']	{'RPL36A': 'RPL36AL', 'RPL13': 'MRPL13', 'TPH2': 'TDO2', 'FAH': 'FANCA', 'CPS1': 'CYP21A2', 'SQRDL': 'SQOR', 'DIO1': 'DIDO1', 'TPO': 'THPO', 'PYCRL': 'PYCR3', 'GLS': 'GLS2', 'RPL10': 'RPL15'}
Metabolism of carbohydrates	12	0	[]	{'FBP2': 'KHSRP', 'GCK': 'MAP4K2', 'HK3': 'HOOK3', 'HAS1': 'HNF1A-AS1', 'PGP': 'PGPEP1', 'HK2': 'HOOK2', 'HK1': 'HOOK1', 'GPI': 'GNPDA1', 'G6PC': 'G6PC1', 'POM121': 'POMZP3', 'PC': 'PODXL', 'PGAM1': 'PGAM4'}
Metabolism of cofactors	1	0	[]	{'NOS3': 'NANOS3'}
Metabolism of fat-soluble vitamins	2	0	[]	{'RBP2': 'RIMBP2', 'LRP1': 'C1D'}
Metabolism of folate and pterines	0	0	[]	{}
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se	0	0	[]	{}
Metabolism of ingested MeSeO2H into MeSeH	0	0	[]	{}
Metabolism of ingested SeMet, Sec, MeSec into H2Se	0	0	[]	{}
Metabolism of lipids	16	1	['ACOT7L']	{'SC5DL': 'SC5D', 'PISD': 'SFI1', 'PSAP': 'MTCH1', 'DBI': 'TSPO', 'FABP5': 'FABP5P1', 'ME1': 'PCDHB16', 'ALB': 'FBF1', 'FAAH': 'FA2H', 'SCD': 'SLC22A5', 'INPP5E': 'PMPCA', 'CDS1': 'CHEK2', 'TMEM55B': 'PIP4P1', 'TAZ': 'WWTR1', 'MTF1': 'MELTF', 'HSD17B7': 'HSD17B7P2', 'GK2': 'GALK2'}
Metabolism of nitric oxide: NOS3 activation and regulation	1	0	[]	{'NOS3': 'NANOS3'}
Metabolism of non-coding RNA	2	0	[]	{'SNRPD1': 'SNRPD2', 'POM121': 'POMZP3'}
Metabolism of nucleotides	6	0	[]	{'CAD': 'DFFB', 'GDA': 'SLC25A16', 'ADSS': 'ADSS2', 'AK6': 'AK3', 'NME1': 'RMRP', 'ADSSL1': 'ADSS1'}
Metabolism of polyamines	0	0	[]	{}
Metabolism of porphyrins	1	0	[]	{'ALB': 'FBF1'}
Metabolism of proteins	49	9	['FKBP14 gene', '5S rRNA', '18S rRNA', '5.8S rRNA', '7SL RNA (ENSG00000222639)', '28S rRNA', '7SL RNA (ENSG00000222619)', 'ATPV0D1', 'US11']	{'LAMB2': 'LAMC1', 'POM121': 'POMZP3', 'PARK2': 'PRKN', 'DAP3': 'DLGAP3', 'SPP1': 'CXXC1', 'TTF1': 'NKX2-1', 'NAPB': 'NAPSB', 'MGAT3': 'MOGAT3', 'RPL13': 'MRPL13', 'FAM175A': 'ABRAXAS1', 'ALB': 'FBF1', 'MRPS28': 'MRPS35', 'SPP2': 'SGPP2', 'RPA1': 'POLR1A', 'RAB11B': 'RAB43', 'HARS2': 'DTD1', 'GALNT15': 'GALNT18', 'USP16': 'USP21', 'BAP1': 'RNF2', 'SCG3': 'SGCG', 'UFD1L': 'UFD1', 'CYR61': 'CCN1', 'RPL36A': 'RPL36AL', 'MIA2': 'CFAP73', 'GIP': 'C1QTNF1', 'REN': 'KCTD11', 'IL8': 'CXCL8', 'VDAC3': 'VDAC1P5', 'N6AMT2': 'EEF1AKMT1', 'MRPL27': 'MRPL41', 'GRP': 'LGALSL', 'BRCC3': 'DEPDC1B', 'RFWD2': 'COP1', 'DMP1': 'DMTF1', 'CECR1': 'ADA2', 'FKBP9': 'FKBP1B', 'C19orf10': 'MYDGF', 'ARFGAP1': 'ARFGAP3', 'GALNT17': 'GALNTL6', 'LY6G6D': 'LY6G6F', 'METTL10': 'EEF1AKMT2', 'MGAT2': 'MOGAT2', 'BRE': 'BABAM2', 'FAM175B': 'ABRAXAS2', 'H2AFX': 'H2AX', 'TRAF2': 'TANK', 'RPL10': 'RPL15', 'NAPA': 'NAPSA', 'SRPR': 'SRPRA'}
Metabolism of serotonin	0	0	[]	{}
Metabolism of steroid hormones	0	0	[]	{}
Metabolism of steroids	5	0	[]	{'ALB': 'FBF1', 'SC5DL': 'SC5D', 'SCD': 'SLC22A5', 'MTF1': 'MELTF', 'HSD17B7': 'HSD17B7P2'}
Metabolism of vitamin K	0	0	[]	{}
Metabolism of vitamins and cofactors	5	0	[]	{'LRP1': 'C1D', 'RBP2': 'RIMBP2', 'NOS3': 'NANOS3', 'PC': 'PODXL', 'SLC23A2': 'SLC23A1'}
Metabolism of water-soluble vitamins and cofactors	2	0	[]	{'PC': 'PODXL', 'SLC23A2': 'SLC23A1'}
Metal ion SLC transporters	0	0	[]	{}
Metal sequestration by antimicrobial proteins	0	0	[]	{}
Metalloprotease DUBs	4	0	[]	{'BRE': 'BABAM2', 'FAM175B': 'ABRAXAS2', 'FAM175A': 'ABRAXAS1', 'BRCC3': 'DEPDC1B'}
Metallothioneins bind metals	0	0	[]	{}
Methionine salvage pathway	0	0	[]	{}
Methylation	0	0	[]	{}
Methylation of MeSeH for excretion	0	0	[]	{}
MicroRNA (miRNA) biogenesis	0	0	[]	{}
Microbial modulation of RIPK1-mediated regulated necrosis	1	5	['CRMA', 'UL36', '3a', 'SPI-2', 'RIR1']	{'NS': 'GNL3'}
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	0	0	[]	{}
Mineralocorticoid biosynthesis	0	0	[]	{}
Minus-strand DNA synthesis	0	6	['rev', 'vif', 'vpu', 'gag', 'gag-pol', 'vpr']	{}
Miscellaneous substrates	0	0	[]	{}
Miscellaneous transport and binding events	0	0	[]	{}
Mismatch Repair	2	0	[]	{'RPA1': 'POLR1A', 'LIG1': 'LRIG1'}
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	2	0	[]	{'RPA1': 'POLR1A', 'LIG1': 'LRIG1'}
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	2	0	[]	{'RPA1': 'POLR1A', 'LIG1': 'LRIG1'}
Mitochondrial ABC transporters	0	0	[]	{}
Mitochondrial Fatty Acid Beta-Oxidation	1	1	['ACOT7L']	{'DBI': 'TSPO'}
Mitochondrial Uncoupling	0	0	[]	{}
Mitochondrial biogenesis	3	0	[]	{'ATP5B': 'ATP5F1B', 'PEO1': 'TWNK', 'MTERF': 'MTERF1'}
Mitochondrial calcium ion transport	2	0	[]	{'VDAC3': 'VDAC1P5', 'C2orf47': 'MAIP1'}
Mitochondrial iron-sulfur cluster biogenesis	0	0	[]	{}
Mitochondrial protein import	1	0	[]	{'TAZ': 'WWTR1'}
Mitochondrial tRNA aminoacylation	1	0	[]	{'HARS2': 'DTD1'}
Mitochondrial transcription initiation	0	0	[]	{}
Mitochondrial transcription termination	0	0	[]	{}
Mitochondrial translation	3	0	[]	{'MRPS28': 'MRPS35', 'MRPL27': 'MRPL41', 'DAP3': 'DLGAP3'}
Mitochondrial translation elongation	3	0	[]	{'MRPS28': 'MRPS35', 'MRPL27': 'MRPL41', 'DAP3': 'DLGAP3'}
Mitochondrial translation initiation	3	0	[]	{'MRPS28': 'MRPS35', 'MRPL27': 'MRPL41', 'DAP3': 'DLGAP3'}
Mitochondrial translation termination	3	0	[]	{'MRPS28': 'MRPS35', 'MRPL27': 'MRPL41', 'DAP3': 'DLGAP3'}
Mitophagy	1	0	[]	{'PARK2': 'PRKN'}
Mitotic Anaphase	3	0	[]	{'POM121': 'POMZP3', 'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Mitotic G1 phase and G1/S transition	3	0	[]	{'ORC1': 'SLC25A15', 'MCM2': 'MCM7', 'RPA1': 'POLR1A'}
Mitotic G2-G2/M phases	0	0	[]	{}
Mitotic Metaphase and Anaphase	3	0	[]	{'POM121': 'POMZP3', 'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Mitotic Metaphase/Anaphase Transition	0	0	[]	{}
Mitotic Prometaphase	2	0	[]	{'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Mitotic Prophase	2	0	[]	{'POM121': 'POMZP3', 'H2AFX': 'H2AX'}
Mitotic Spindle Checkpoint	2	0	[]	{'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
Mitotic Telophase/Cytokinesis	0	0	[]	{}
Modulation by Mtb of host immune system	0	4	['Rv2779c', 'ptpA', 'pstS1', 'esxA']	{}
Molecules associated with elastic fibres	1	0	[]	{'LTBP3': 'LTBP2'}
Molybdenum cofactor biosynthesis	0	0	[]	{}
Mtb iron assimilation by chelation	0	5	['irtA', 'bfr', 'irtB', 'Rv2895c', 'bfrB']	{}
Mucopolysaccharidoses	0	0	[]	{}
Multifunctional anion exchangers	0	0	[]	{}
Muscarinic acetylcholine receptors	0	0	[]	{}
Muscle contraction	6	0	[]	{'PAK1': 'PKN1', 'ATP2B2': 'ATP2B4', 'PXN': 'PXDN', 'GUCY1A3': 'GUCY1A1', 'GUCY1B3': 'GUCY1B1', 'NOS1': 'NANOS1'}
MyD88 cascade initiated on plasma membrane	0	1	['fliC']	{}
MyD88 deficiency (TLR2/4)	0	2	['mip', 'porB']	{}
MyD88 deficiency (TLR5)	0	1	['fliC']	{}
MyD88 dependent cascade initiated on endosome	0	0	[]	{}
MyD88-independent TLR4 cascade	0	0	[]	{}
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	0	2	['porB', 'mip']	{}
Myoclonic epilepsy of Lafora	0	0	[]	{}
Myogenesis	1	0	[]	{'TCF4': 'TCF7L2'}
N-Glycan antennae elongation	0	0	[]	{}
N-glycan antennae elongation in the medial/trans-Golgi	2	0	[]	{'MGAT2': 'MOGAT2', 'MGAT3': 'MOGAT3'}
N-glycan trimming and elongation in the cis-Golgi	0	0	[]	{}
N-glycan trimming in the ER and Calnexin/Calreticulin cycle	0	0	[]	{}
NADE modulates death signalling	0	0	[]	{}
NADPH regeneration	0	0	[]	{}
NCAM signaling for neurite out-growth	0	0	[]	{}
NCAM1 interactions	0	0	[]	{}
NEIL3-mediated resolution of ICLs	0	0	[]	{}
NEP/NS2 Interacts with the Cellular Export Machinery	5	2	['M', 'PB2']	{'PB1': 'PBRM1', 'POM121': 'POMZP3', 'NS': 'GNL3', 'PA': 'EPB42', 'NP': 'CTF2P'}
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	0	0	[]	{}
NF-kB is activated and signals survival	0	0	[]	{}
NFG and proNGF binds to p75NTR	0	0	[]	{}
NGF processing	0	0	[]	{}
NGF-independant TRKA activation	0	0	[]	{}
NGF-stimulated transcription	1	0	[]	{'F3': 'CNTN1'}
NIK-->noncanonical NF-kB signaling	0	0	[]	{}
NOD1/2 Signaling Pathway	0	0	[]	{}
NOSIP mediated eNOS trafficking	1	0	[]	{'NOS3': 'NANOS3'}
NOSTRIN mediated eNOS trafficking	1	0	[]	{'NOS3': 'NANOS3'}
NOTCH1 Intracellular Domain Regulates Transcription	0	0	[]	{}
NOTCH2 Activation and Transmission of Signal to the Nucleus	0	0	[]	{}
NOTCH2 intracellular domain regulates transcription	0	0	[]	{}
NOTCH3 Activation and Transmission of Signal to the Nucleus	0	0	[]	{}
NOTCH3 Intracellular Domain Regulates Transcription	0	0	[]	{}
NOTCH4 Activation and Transmission of Signal to the Nucleus	0	0	[]	{}
NOTCH4 Intracellular Domain Regulates Transcription	0	0	[]	{}
NR1D1 (REV-ERBA) represses gene expression	0	0	[]	{}
NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis	0	0	[]	{}
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	1	0	[]	{'SCD': 'SLC22A5'}
NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose	0	0	[]	{}
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	0	0	[]	{}
NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake	0	0	[]	{}
NR1H2 and NR1H3-mediated signaling	1	0	[]	{'SCD': 'SLC22A5'}
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	0	0	[]	{}
NRAGE signals death through JNK	1	0	[]	{'NET1': 'SLC6A2'}
NRIF signals cell death from the nucleus	0	0	[]	{}
NS1 Mediated Effects on Host Pathways	3	0	[]	{'KPNA7': 'KPNA6', 'POM121': 'POMZP3', 'NS': 'GNL3'}
NTF3 activates NTRK2 (TRKB) signaling	0	0	[]	{}
NTF3 activates NTRK3 signaling	0	0	[]	{}
NTF4 activates NTRK2 (TRKB) signaling	0	0	[]	{}
NTRK2 activates RAC1	0	0	[]	{}
NTRK3 as a dependence receptor	0	0	[]	{}
Na+/Cl- dependent neurotransmitter transporters	1	0	[]	{'SLC6A5': 'SLC6A2'}
Nectin/Necl  trans heterodimerization	0	0	[]	{}
Neddylation	1	0	[]	{'RFWD2': 'COP1'}
Nef Mediated CD4 Down-regulation	0	1	['nef']	{}
Nef Mediated CD8 Down-regulation	0	1	['nef']	{}
Nef and signal transduction	0	1	['nef']	{}
Nef mediated downregulation of CD28 cell surface expression	0	1	['nef']	{}
Nef mediated downregulation of MHC class I complex cell surface expression	0	1	['nef']	{}
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	0	1	['nef']	{}
Negative epigenetic regulation of rRNA expression	2	5	['45S pre-rRNA gene', '5S rRNA', '5.8S rRNA', '28S rRNA', '18S rRNA, 5.8S rRNA, 28S rRNA']	{'H2AFX': 'H2AX', 'TTF1': 'NKX2-1'}
Negative feedback regulation of MAPK pathway	0	0	[]	{}
Negative regulation of FGFR1 signaling	1	0	[]	{'FGF2': 'FGF13'}
Negative regulation of FGFR2 signaling	1	0	[]	{'FGF2': 'FGF13'}
Negative regulation of FGFR3 signaling	1	0	[]	{'FGF2': 'FGF13'}
Negative regulation of FGFR4 signaling	1	0	[]	{'FGF2': 'FGF13'}
Negative regulation of FLT3	0	0	[]	{}
Negative regulation of MAPK pathway	1	0	[]	{'DUSP1': 'DUSP12'}
Negative regulation of MET activity	0	0	[]	{}
Negative regulation of NMDA receptor-mediated neuronal transmission	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
Negative regulation of NOTCH4 signaling	0	0	[]	{}
Negative regulation of TCF-dependent signaling by DVL-interacting proteins	0	0	[]	{}
Negative regulation of TCF-dependent signaling by WNT ligand antagonists	0	0	[]	{}
Negative regulation of activity of TFAP2 (AP-2) family transcription factors	0	0	[]	{}
Negative regulation of the PI3K/AKT network	1	0	[]	{'FGF2': 'FGF13'}
Negative regulators of DDX58/IFIH1 signaling	0	0	[]	{}
Nephrin family interactions	1	0	[]	{'KIRREL': 'KIRREL1'}
Nervous system development	16	5	['ROBO3.1', '5S rRNA', '5.8S rRNA', '18S rRNA', '28S rRNA']	{'DOK1': 'ART4', 'TRPC7': 'TRPM2', 'PRX': 'PRDX6', 'CAP2': 'TMPRSS4', 'DLG3': 'MPP3', 'RPL36A': 'RPL36AL', 'PAK5': 'PAK6', 'SLIT3': 'SLIT1', 'RPL13': 'MRPL13', 'HFE2': 'HJV', 'PAK3': 'ARHGEF7', 'MYH14': 'MYH7B', 'GRIN1': 'GPRIN1', 'PAK1': 'PKN1', 'RPL10': 'RPL15', 'NTN4': 'MLF2'}
Netrin mediated repulsion signals	0	0	[]	{}
Netrin-1 signaling	5	0	[]	{'PAK1': 'PKN1', 'NTN4': 'MLF2', 'HFE2': 'HJV', 'TRPC7': 'TRPM2', 'SLIT3': 'SLIT1'}
Neurexins and neuroligins	2	0	[]	{'DLG3': 'MPP3', 'GRIN1': 'GPRIN1'}
Neurodegenerative Diseases	0	0	[]	{}
Neurofascin interactions	0	0	[]	{}
Neuronal System	6	0	[]	{'DLG3': 'MPP3', 'GRIK2': 'GRIK5', 'GJA10': 'GJA9', 'GJC1': 'GJD3', 'GRIN1': 'GPRIN1', 'GLS': 'GLS2'}
Neurophilin interactions with VEGF and VEGFR	0	0	[]	{}
Neurotoxicity of clostridium toxins	0	11	['ntnha', 'ha70', 'botD', 'botA', 'tetX', 'ha17', 'botE', 'HA-33', 'botG', 'botB', 'botF']	{}
Neurotransmitter clearance	0	0	[]	{}
Neurotransmitter receptors and postsynaptic signal transmission	3	0	[]	{'GRIK2': 'GRIK5', 'GRIN1': 'GPRIN1', 'DLG3': 'MPP3'}
Neurotransmitter release cycle	1	0	[]	{'GLS': 'GLS2'}
Neurotransmitter uptake and metabolism In glial cells	0	0	[]	{}
Neutrophil degranulation	12	0	[]	{'HMHA1': 'ARHGAP45', 'MMTAG2': 'C1orf35', 'VAT1': 'SLC18A1', 'PGAM1': 'PGAM4', 'PSAP': 'MTCH1', 'HK3': 'HOOK3', 'CECR1': 'ADA2', 'PLAC8': 'LGALS13', 'FABP5': 'FABP5P1', 'HLA-H': 'HFE', 'BRI3': 'ITM2C', 'GPI': 'GNPDA1'}
Nicotinamide salvaging	0	0	[]	{}
Nicotinate metabolism	0	0	[]	{}
Nilotinib-resistant KIT mutants	0	0	[]	{}
Nitric oxide stimulates guanylate cyclase	4	0	[]	{'GUCY1A3': 'GUCY1A1', 'NOS3': 'NANOS3', 'GUCY1B3': 'GUCY1B1', 'NOS1': 'NANOS1'}
NoRC negatively regulates rRNA expression	2	2	['45S pre-rRNA gene', '18S rRNA, 5.8S rRNA, 28S rRNA']	{'H2AFX': 'H2AX', 'TTF1': 'NKX2-1'}
